,IOB
412,O
413,O
414,O
415,O
416,O
417,O
418,O
419,O
420,O
421,B-A0
422,I-A0
423,I-A0
424,I-A0
425,I-A0
426,I-A0
427,I-A0
428,I-A0
429,I-A0
430,I-A0
431,I-A0
432,I-A0
433,O
434,B-V
435,B-A1
436,I-A1
437,I-A1
438,I-A1
439,I-A1
440,B-A2
441,I-A2
442,I-A2
443,O
444,B-AM-TMP
445,I-AM-TMP
446,I-AM-TMP
447,I-AM-TMP
448,I-AM-TMP
449,I-AM-TMP
450,I-AM-TMP
451,I-AM-TMP
452,I-AM-TMP
453,O
454,B-V
455,B-C-V
456,I-C-V
457,B-A1
458,I-A1
459,I-A1
460,I-A1
461,O
462,O
463,O
464,O
465,O
466,O
467,O
468,O
469,O
470,O
471,O
472,O
473,O
474,O
475,B-V
476,B-A1
477,I-A1
478,I-A1
479,O
480,B-A0
481,I-A0
482,I-A0
483,I-A0
484,I-A0
485,B-AM-DIS
486,B-V
487,B-A1
488,I-A1
489,O
490,B-A1
491,I-A1
492,I-A1
493,I-A1
494,I-A1
495,I-A1
496,I-A1
497,I-A1
498,O
499,B-V
500,B-AM-LOC
501,I-AM-LOC
502,B-A3
503,I-A3
504,I-A3
505,O
506,B-A1
507,I-A1
508,O
509,B-V
510,B-A2
511,I-A2
512,I-A2
513,I-A2
514,I-A2
515,I-A2
516,I-A2
517,I-A2
518,I-A2
519,I-A2
520,O
521,B-A1
522,I-A1
523,I-A1
524,I-A1
525,I-A1
526,I-A1
527,I-A1
528,I-A1
529,I-A1
530,I-A1
531,O
532,B-V
533,B-A2
534,I-A2
535,I-A2
536,I-A2
537,I-A2
538,I-A2
539,I-A2
540,I-A2
541,O
542,B-AM-TMP
543,I-AM-TMP
544,I-AM-TMP
545,O
546,B-A0
547,I-A0
548,I-A0
549,I-A0
550,I-A0
551,I-A0
552,I-A0
553,I-A0
554,I-A0
555,B-V
556,B-A1
557,I-A1
558,I-A1
559,I-A1
560,I-A1
561,I-A1
562,I-A1
563,I-A1
564,I-A1
565,I-A1
566,I-A1
567,I-A1
568,I-A1
569,I-A1
570,I-A1
571,I-A1
572,I-A1
573,I-A1
574,I-A1
575,O
576,O
577,O
578,O
579,O
580,O
581,O
582,O
583,O
584,O
585,O
586,O
587,O
588,O
589,O
590,O
591,O
592,O
593,O
594,O
595,O
596,B-V
597,B-A1
598,I-A1
599,I-A1
600,I-A1
601,I-A1
602,I-A1
603,I-A1
604,I-A1
605,I-A1
606,I-A1
607,I-A1
608,I-A1
609,O
610,O
611,O
612,O
613,O
614,O
615,O
616,O
617,O
618,O
619,O
620,O
621,O
622,O
623,O
624,O
625,O
626,O
627,O
628,O
629,O
630,O
631,O
632,O
633,O
634,O
635,O
636,O
637,B-V
638,B-A1
639,I-A1
640,B-A2
641,I-A2
642,I-A2
643,O
644,B-A0
645,I-A0
646,I-A0
647,I-A0
648,I-A0
649,I-A0
650,I-A0
651,I-A0
652,I-A0
653,I-A0
654,B-V
655,B-AM-TMP
656,B-A1
657,I-A1
658,I-A1
659,I-A1
660,I-A1
661,I-A1
662,I-A1
663,I-A1
664,I-A1
665,I-A1
666,I-A1
667,I-A1
668,I-A1
669,I-A1
670,I-A1
671,I-A1
672,I-A1
673,I-A1
674,O
675,O
676,O
677,O
678,O
679,O
680,O
681,O
682,O
683,O
684,O
685,O
686,O
687,O
688,B-A0
689,I-A0
690,I-A0
691,I-A0
692,I-A0
693,I-A0
694,I-A0
695,B-AM-NEG
696,O
697,B-V
698,B-A1
699,I-A1
700,B-AM-CAU
701,I-AM-CAU
702,I-AM-CAU
703,I-AM-CAU
704,I-AM-CAU
705,O
706,O
707,O
708,O
709,O
710,O
711,O
712,O
713,O
714,O
715,O
716,O
717,O
718,O
719,O
720,O
721,O
722,O
723,O
724,O
725,B-A0
726,O
727,O
728,O
729,O
730,O
731,O
732,B-AM-NEG
733,B-V
734,B-A1
735,I-A1
736,O
737,B-A0
738,I-A0
739,I-A0
740,I-A0
741,I-A0
742,I-A0
743,B-V
744,B-A2
745,I-A2
746,I-A2
747,B-A1
748,I-A1
749,I-A1
750,O
751,O
752,B-AM-NEG
753,B-V
754,B-A1
755,I-A1
756,I-A1
757,I-A1
758,I-A1
759,I-A1
760,I-A1
761,I-A1
762,I-A1
763,I-A1
764,O
765,O
766,O
767,O
768,O
769,O
770,O
771,O
772,O
773,O
774,O
775,O
776,O
777,O
778,O
779,B-AM-CAU
780,I-AM-CAU
781,I-AM-CAU
782,I-AM-CAU
783,I-AM-CAU
784,I-AM-CAU
785,I-AM-CAU
786,I-AM-CAU
787,I-AM-CAU
788,I-AM-CAU
789,I-AM-CAU
790,I-AM-CAU
791,I-AM-CAU
792,O
793,B-A1
794,I-A1
795,O
796,B-V
797,B-A2
798,I-A2
799,I-A2
800,I-A2
801,I-A2
802,B-AM-MNR
803,I-AM-MNR
804,I-AM-MNR
805,I-AM-MNR
806,I-AM-MNR
807,O
808,O
809,O
810,O
811,O
812,O
813,O
814,O
815,O
816,B-V
817,B-A1
818,I-A1
819,I-A1
820,I-A1
821,O
822,O
823,O
824,O
825,O
826,O
827,O
828,O
829,O
830,O
831,O
832,O
833,O
834,O
835,O
836,O
837,O
838,O
839,O
840,O
841,O
842,O
843,O
844,O
845,B-AM-TMP
846,O
847,B-AM-CAU
848,I-AM-CAU
849,I-AM-CAU
850,I-AM-CAU
851,I-AM-CAU
852,I-AM-CAU
853,I-AM-CAU
854,I-AM-CAU
855,I-AM-CAU
856,I-AM-CAU
857,I-AM-CAU
858,I-AM-CAU
859,O
860,B-A0
861,I-A0
862,B-V
863,B-A2
864,I-A2
865,I-A2
866,B-A1
867,I-A1
868,I-A1
869,I-A1
870,I-A1
871,O
872,B-AM-ADV
873,I-AM-ADV
874,I-AM-ADV
875,I-AM-ADV
876,I-AM-ADV
877,I-AM-ADV
878,I-AM-ADV
879,I-AM-ADV
880,I-AM-ADV
881,I-AM-ADV
882,O
883,O
884,O
885,O
886,O
887,O
888,O
889,O
890,O
891,O
892,O
893,O
894,O
895,O
896,O
897,O
898,B-A0
899,I-A0
900,O
901,O
902,O
903,O
904,O
905,O
906,O
907,O
908,O
909,O
910,B-V
911,B-A4
912,I-A4
913,I-A4
914,I-A4
915,B-A1
916,I-A1
917,I-A1
918,I-A1
919,I-A1
920,O
921,B-A0
922,I-A0
923,B-V
924,B-A1
925,I-A1
926,I-A1
927,I-A1
928,I-A1
929,I-A1
930,I-A1
931,I-A1
932,O
933,O
934,O
935,O
936,O
937,O
938,O
939,O
940,O
941,O
942,O
943,O
944,O
945,O
946,O
947,O
948,O
949,O
950,O
951,O
952,O
953,O
954,O
955,O
956,O
957,O
958,B-A0
959,I-A0
960,I-A0
961,O
962,O
963,B-AM-NEG
964,B-V
965,B-A1
966,I-A1
967,I-A1
968,I-A1
969,I-A1
970,O
971,B-V
972,B-A1
973,I-A1
974,I-A1
975,I-A1
976,I-A1
977,I-A1
978,I-A1
979,I-A1
980,I-A1
981,I-A1
982,I-A1
983,I-A1
984,I-A1
985,I-A1
986,I-A1
987,I-A1
988,I-A1
989,I-A1
990,I-A1
991,I-A1
992,I-A1
993,I-A1
994,I-A1
995,I-A1
996,I-A1
997,I-A1
998,I-A1
999,I-A1
1000,I-A1
1001,I-A1
1002,I-A1
1003,I-A1
1004,I-A1
1005,O
1006,O
1007,O
1008,O
1009,O
1010,O
1011,O
1012,O
1013,O
1014,O
1015,O
1016,B-A0
1017,B-V
1018,B-AM-LOC
1019,I-AM-LOC
1020,I-AM-LOC
1021,I-AM-LOC
1022,I-AM-LOC
1023,I-AM-LOC
1024,I-AM-LOC
1025,I-AM-LOC
1026,I-AM-LOC
1027,I-AM-LOC
1028,B-A1
1029,I-A1
1030,I-A1
1031,I-A1
1032,I-A1
1033,I-A1
1034,I-A1
1035,I-A1
1036,I-A1
1037,I-A1
1038,I-A1
1039,I-A1
1040,O
1041,B-AM-LOC
1042,B-AM-ADV
1043,B-V
1044,B-A0
1045,I-A0
1046,I-A0
1047,O
1048,O
1049,O
1050,O
1051,B-A1
1052,B-V
1053,B-A2
1054,O
1055,B-A0
1056,B-V
1057,B-A1
1058,I-A1
1059,B-AM-CAU
1060,I-AM-CAU
1061,I-AM-CAU
1062,I-AM-CAU
1063,I-AM-CAU
1064,I-AM-CAU
1065,I-AM-CAU
1066,I-AM-CAU
1067,I-AM-CAU
1068,O
1069,O
1070,O
1071,O
1072,O
1073,O
1074,B-V
1075,B-A1
1076,I-A1
1077,I-A1
1078,I-A1
1079,I-A1
1080,I-A1
1081,I-A1
1082,O
1083,O
1084,O
1085,O
1086,O
1087,O
1088,O
1089,B-A0
1090,B-V
1091,B-A1
1092,I-A1
1093,B-AM-LOC
1094,I-AM-LOC
1095,I-AM-LOC
1096,O
1097,B-A0
1098,B-AM-ADV
1099,B-AM-NEG
1100,B-V
1101,B-AM-CAU
1102,I-AM-CAU
1103,I-AM-CAU
1104,I-AM-CAU
1105,O
1106,B-A1
1107,O
1108,O
1109,O
1110,O
1111,B-AM-NEG
1112,B-V
1113,B-A2
1114,O
1115,B-AM-DIS
1116,O
1117,O
1118,B-A2
1119,B-A0
1120,I-A0
1121,B-V
1122,B-A1
1123,I-A1
1124,I-A1
1125,I-A1
1126,I-A1
1127,I-A1
1128,I-A1
1129,O
1130,B-A0
1131,I-A0
1132,I-A0
1133,B-V
1134,B-A1
1135,I-A1
1136,I-A1
1137,I-A1
1138,O
1139,O
1140,O
1141,O
1142,O
1143,O
1144,O
1145,O
1146,O
1147,O
1148,O
1149,O
1150,B-V
1151,B-A1
1152,I-A1
1153,I-A1
1154,O
1155,O
1156,O
1157,O
1158,O
1159,O
1160,O
1161,O
1162,O
1163,O
1164,O
1165,O
1166,O
1167,O
1168,O
1169,O
1170,O
1171,O
1172,B-A0
1173,I-A0
1174,B-V
1175,B-A1
1176,I-A1
1177,O
1178,O
1179,O
1180,O
1181,B-V
1182,B-A1
1183,I-A1
1184,I-A1
1185,I-A1
1186,I-A1
1187,I-A1
1188,I-A1
1189,I-A1
1190,O
1191,O
1192,O
1193,O
1194,O
1195,O
1196,B-A0
1197,I-A0
1198,O
1199,O
1200,O
1201,O
1202,O
1203,O
1204,O
1205,O
1206,O
1207,O
1208,O
1209,B-V
1210,B-A1
1211,I-A1
1212,I-A1
1213,O
1214,O
1215,B-A0
1216,B-V
1217,B-A1
1218,I-A1
1219,O
1220,O
1221,O
1222,O
1223,O
1224,O
1225,O
1226,O
1227,O
1228,O
1229,O
1230,B-A0
1231,O
1232,O
1233,O
1234,O
1235,O
1236,O
1237,O
1238,O
1239,B-V
1240,B-A1
1241,I-A1
1242,I-A1
1243,O
1244,B-A0
1245,I-A0
1246,I-A0
1247,I-A0
1248,I-A0
1249,O
1250,B-V
1251,B-AM-MNR
1252,I-AM-MNR
1253,B-A1
1254,I-A1
1255,I-A1
1256,I-A1
1257,I-A1
1258,I-A1
1259,I-A1
1260,I-A1
1261,I-A1
1262,O
1263,O
1264,O
1265,O
1266,O
1267,O
1268,B-A0
1269,B-V
1270,B-A1
1271,I-A1
1272,I-A1
1273,I-A1
1274,I-A1
1275,O
1276,O
1277,O
1278,O
1279,O
1280,O
1281,O
1282,O
1283,O
1284,O
1285,O
1286,O
1287,B-A2
1288,I-A2
1289,I-A2
1290,I-A2
1291,I-A2
1292,I-A2
1293,I-A2
1294,I-A2
1295,I-A2
1296,I-A2
1297,I-A2
1298,I-A2
1299,B-AM-NEG
1300,O
1301,O
1302,B-V
1303,B-AM-TMP
1304,B-A1
1305,I-A1
1306,I-A1
1307,I-A1
1308,I-A1
1309,I-A1
1310,O
1311,B-A0
1312,I-A0
1313,I-A0
1314,I-A0
1315,I-A0
1316,I-A0
1317,I-A0
1318,I-A0
1319,I-A0
1320,I-A0
1321,B-V
1322,B-A1
1323,I-A1
1324,I-A1
1325,I-A1
1326,I-A1
1327,I-A1
1328,I-A1
1329,I-A1
1330,I-A1
1331,I-A1
1332,I-A1
1333,O
1334,B-A0
1335,I-A0
1336,I-A0
1337,I-A0
1338,I-A0
1339,I-A0
1340,I-A0
1341,I-A0
1342,I-A0
1343,I-A0
1344,O
1345,O
1346,B-V
1347,B-A1
1348,I-A1
1349,I-A1
1350,I-A1
1351,I-A1
1352,I-A1
1353,I-A1
1354,I-A1
1355,I-A1
1356,O
1357,O
1358,O
1359,O
1360,O
1361,O
1362,O
1363,O
1364,O
1365,O
1366,O
1367,O
1368,O
1369,O
1370,B-V
1371,B-A1
1372,I-A1
1373,B-AM-LOC
1374,I-AM-LOC
1375,I-AM-LOC
1376,I-AM-LOC
1377,I-AM-LOC
1378,B-AM-TMP
1379,O
1380,B-A0
1381,B-V
1382,B-AM-DIS
1383,B-A1
1384,I-A1
1385,I-A1
1386,I-A1
1387,I-A1
1388,I-A1
1389,I-A1
1390,I-A1
1391,I-A1
1392,I-A1
1393,I-A1
1394,I-A1
1395,I-A1
1396,I-A1
1397,I-A1
1398,I-A1
1399,I-A1
1400,I-A1
1401,I-A1
1402,I-A1
1403,I-A1
1404,I-A1
1405,I-A1
1406,I-A1
1407,O
1408,O
1409,O
1410,O
1411,O
1412,B-A0
1413,I-A0
1414,O
1415,B-V
1416,B-A1
1417,I-A1
1418,I-A1
1419,I-A1
1420,I-A1
1421,I-A1
1422,I-A1
1423,I-A1
1424,I-A1
1425,I-A1
1426,I-A1
1427,I-A1
1428,I-A1
1429,I-A1
1430,I-A1
1431,I-A1
1432,I-A1
1433,I-A1
1434,I-A1
1435,O
1436,O
1437,O
1438,O
1439,O
1440,O
1441,O
1442,O
1443,O
1444,O
1445,O
1446,O
1447,O
1448,O
1449,B-V
1450,B-AM-PNC
1451,I-AM-PNC
1452,I-AM-PNC
1453,I-AM-PNC
1454,I-AM-PNC
1455,I-AM-PNC
1456,I-AM-PNC
1457,I-AM-PNC
1458,I-AM-PNC
1459,I-AM-PNC
1460,I-AM-PNC
1461,I-AM-PNC
1462,I-AM-PNC
1463,O
1464,O
1465,B-A0
1466,I-A0
1467,O
1468,B-V
1469,B-AM-LOC
1470,I-AM-LOC
1471,I-AM-LOC
1472,I-AM-LOC
1473,I-AM-LOC
1474,I-AM-LOC
1475,I-AM-LOC
1476,I-AM-LOC
1477,I-AM-LOC
1478,I-AM-LOC
1479,I-AM-LOC
1480,I-AM-LOC
1481,I-AM-LOC
1482,I-AM-LOC
1483,O
1484,O
1485,O
1486,O
1487,O
1488,B-A1
1489,I-A1
1490,I-A1
1491,I-A1
1492,I-A1
1493,I-A1
1494,I-A1
1495,I-A1
1496,I-A1
1497,I-A1
1498,I-A1
1499,I-A1
1500,I-A1
1501,I-A1
1502,I-A1
1503,I-A1
1504,I-A1
1505,I-A1
1506,I-A1
1507,I-A1
1508,O
1509,B-V
1510,B-A0
1511,O
1512,B-A0
1513,I-A0
1514,I-A0
1515,I-A0
1516,I-A0
1517,I-A0
1518,I-A0
1519,B-V
1520,B-A1
1521,I-A1
1522,I-A1
1523,I-A1
1524,I-A1
1525,I-A1
1526,I-A1
1527,I-A1
1528,I-A1
1529,I-A1
1530,I-A1
1531,I-A1
1532,I-A1
1533,I-A1
1534,I-A1
1535,I-A1
1536,O
1537,O
1538,O
1539,O
1540,O
1541,O
1542,O
1543,O
1544,O
1545,O
1546,B-A0
1547,I-A0
1548,O
1549,B-A1
1550,B-V
1551,B-A2
1552,I-A2
1553,I-A2
1554,B-AM-MNR
1555,I-AM-MNR
1556,O
1557,O
1558,O
1559,O
1560,O
1561,O
1562,O
1563,O
1564,O
1565,O
1566,O
1567,O
1568,O
1569,O
1570,O
1571,B-A1
1572,I-A1
1573,O
1574,O
1575,O
1576,O
1577,O
1578,O
1579,O
1580,O
1581,O
1582,B-V
1583,B-A2
1584,I-A2
1585,O
1586,O
1587,B-A1
1588,I-A1
1589,I-A1
1590,I-A1
1591,B-V
1592,B-A2
1593,I-A2
1594,I-A2
1595,O
1596,B-A1
1597,I-A1
1598,I-A1
1599,I-A1
1600,I-A1
1601,I-A1
1602,I-A1
1603,I-A1
1604,I-A1
1605,I-A1
1606,I-A1
1607,I-A1
1608,I-A1
1609,I-A1
1610,I-A1
1611,I-A1
1612,I-A1
1613,I-A1
1614,I-A1
1615,I-A1
1616,I-A1
1617,I-A1
1618,I-A1
1619,O
1620,B-V
1621,B-A0
1622,I-A0
1623,I-A0
1624,I-A0
1625,I-A0
1626,I-A0
1627,I-A0
1628,I-A0
1629,I-A0
1630,I-A0
1631,I-A0
1632,I-A0
1633,I-A0
1634,I-A0
1635,O
1636,O
1637,O
1638,O
1639,O
1640,O
1641,O
1642,O
1643,O
1644,O
1645,O
1646,O
1647,O
1648,O
1649,O
1650,O
1651,O
1652,O
1653,O
1654,O
1655,O
1656,O
1657,O
1658,O
1659,O
1660,O
1661,O
1662,O
1663,O
1664,O
1665,B-A0
1666,B-AM-NEG
1667,B-V
1668,B-A1
1669,I-A1
1670,I-A1
1671,B-AM-LOC
1672,I-AM-LOC
1673,I-AM-LOC
1674,I-AM-LOC
1675,O
1676,O
1677,O
1678,O
1679,O
1680,O
1681,O
1682,B-V
1683,B-A1
1684,I-A1
1685,O
1686,O
1687,O
1688,O
1689,O
1690,O
1691,O
1692,O
1693,O
1694,O
1695,O
1696,O
1697,O
1698,O
1699,B-AM-LOC
1700,I-AM-LOC
1701,I-AM-LOC
1702,O
1703,B-AM-TMP
1704,I-AM-TMP
1705,I-AM-TMP
1706,I-AM-TMP
1707,O
1708,O
1709,O
1710,O
1711,B-V
1712,B-A1
1713,I-A1
1714,O
1715,B-AM-PNC
1716,I-AM-PNC
1717,I-AM-PNC
1718,I-AM-PNC
1719,O
1720,B-AM-TMP
1721,I-AM-TMP
1722,O
1723,B-V
1724,B-A1
1725,I-A1
1726,I-A1
1727,I-A1
1728,I-A1
1729,I-A1
1730,O
1731,O
1732,O
1733,O
1734,O
1735,O
1736,O
1737,O
1738,O
1739,O
1740,O
1741,O
1742,B-V
1743,B-A1
1744,I-A1
1745,O
1746,O
1747,O
1748,O
1749,O
1750,B-A1
1751,I-A1
1752,I-A1
1753,I-A1
1754,I-A1
1755,I-A1
1756,I-A1
1757,I-A1
1758,I-A1
1759,I-A1
1760,O
1761,O
1762,B-V
1763,B-A0
1764,O
1765,B-A1
1766,B-V
1767,B-A2
1768,I-A2
1769,I-A2
1770,O
1771,O
1772,O
1773,O
1774,O
1775,O
1776,O
1777,O
1778,O
1779,O
1780,O
1781,O
1782,O
1783,O
1784,O
1785,O
1786,O
1787,O
1788,O
1789,O
1790,O
1791,B-A1
1792,B-V
1793,B-A3
1794,I-A3
1795,I-A3
1796,I-A3
1797,I-A3
1798,I-A3
1799,I-A3
1800,O
1801,O
1802,O
1803,O
1804,O
1805,O
1806,O
1807,O
1808,O
1809,O
1810,O
1811,O
1812,O
1813,O
1814,O
1815,O
1816,O
1817,O
1818,O
1819,O
1820,O
1821,O
1822,O
1823,O
1824,O
1825,O
1826,O
1827,O
1828,B-V
1829,B-A1
1830,I-A1
1831,O
1832,B-AM-PRD
1833,I-AM-PRD
1834,I-AM-PRD
1835,I-AM-PRD
1836,I-AM-PRD
1837,I-AM-PRD
1838,I-AM-PRD
1839,I-AM-PRD
1840,I-AM-PRD
1841,I-AM-PRD
1842,I-AM-PRD
1843,I-AM-PRD
1844,I-AM-PRD
1845,I-AM-PRD
1846,B-A0
1847,I-A0
1848,B-V
1849,B-A1
1850,I-A1
1851,I-A1
1852,I-A1
1853,I-A1
1854,O
1855,B-A0
1856,B-AM-DIS
1857,B-V
1858,B-A2
1859,I-A2
1860,I-A2
1861,B-A1
1862,I-A1
1863,I-A1
1864,I-A1
1865,I-A1
1866,I-A1
1867,I-A1
1868,I-A1
1869,I-A1
1870,O
1871,B-A1
1872,I-A1
1873,B-V
1874,B-A2
1875,B-AM-TMP
1876,I-AM-TMP
1877,I-AM-TMP
1878,I-AM-TMP
1879,I-AM-TMP
1880,I-AM-TMP
1881,O
1882,B-V
1883,B-AM-TMP
1884,I-AM-TMP
1885,I-AM-TMP
1886,I-AM-TMP
1887,I-AM-TMP
1888,I-AM-TMP
1889,I-AM-TMP
1890,B-A1
1891,I-A1
1892,I-A1
1893,I-A1
1894,I-A1
1895,I-A1
1896,I-A1
1897,I-A1
1898,I-A1
1899,B-AM-TMP
1900,I-AM-TMP
1901,I-AM-TMP
1902,I-AM-TMP
1903,I-AM-TMP
1904,I-AM-TMP
1905,I-AM-TMP
1906,I-AM-TMP
1907,I-AM-TMP
1908,I-AM-TMP
1909,I-AM-TMP
1910,I-AM-TMP
1911,I-AM-TMP
1912,I-AM-TMP
1913,I-AM-TMP
1914,I-AM-TMP
1915,I-AM-TMP
1916,I-AM-TMP
1917,I-AM-TMP
1918,I-AM-TMP
1919,I-AM-TMP
1920,I-AM-TMP
1921,I-AM-TMP
1922,I-AM-TMP
1923,I-AM-TMP
1924,O
1925,O
1926,O
1927,O
1928,O
1929,O
1930,O
1931,O
1932,O
1933,O
1934,O
1935,O
1936,O
1937,O
1938,O
1939,O
1940,O
1941,O
1942,O
1943,O
1944,O
1945,O
1946,O
1947,O
1948,O
1949,B-A0
1950,O
1951,B-AM-TMP
1952,I-AM-TMP
1953,I-AM-TMP
1954,I-AM-TMP
1955,I-AM-TMP
1956,I-AM-TMP
1957,O
1958,B-V
1959,B-A1
1960,I-A1
1961,I-A1
1962,B-A2
1963,I-A2
1964,I-A2
1965,I-A2
1966,I-A2
1967,O
1968,O
1969,O
1970,O
1971,O
1972,O
1973,O
1974,O
1975,O
1976,O
1977,O
1978,B-V
1979,B-A1
1980,I-A1
1981,I-A1
1982,I-A1
1983,O
1984,O
1985,O
1986,O
1987,O
1988,O
1989,O
1990,O
1991,O
1992,O
1993,O
1994,O
1995,O
1996,O
1997,O
1998,O
1999,O
2000,O
2001,O
2002,O
2003,O
2004,O
2005,O
2006,O
2007,O
2008,O
2009,B-AM-DIS
2010,I-AM-DIS
2011,I-AM-DIS
2012,O
2013,B-A0
2014,I-A0
2015,I-A0
2016,I-A0
2017,I-A0
2018,I-A0
2019,I-A0
2020,I-A0
2021,I-A0
2022,I-A0
2023,I-A0
2024,I-A0
2025,I-A0
2026,I-A0
2027,I-A0
2028,I-A0
2029,I-A0
2030,I-A0
2031,I-A0
2032,I-A0
2033,I-A0
2034,B-V
2035,B-A1
2036,I-A1
2037,I-A1
2038,I-A1
2039,I-A1
2040,I-A1
2041,I-A1
2042,I-A1
2043,I-A1
2044,I-A1
2045,I-A1
2046,I-A1
2047,I-A1
2048,I-A1
2049,O
2050,B-A0
2051,B-V
2052,B-A1
2053,I-A1
2054,I-A1
2055,I-A1
2056,I-A1
2057,I-A1
2058,I-A1
2059,I-A1
2060,I-A1
2061,O
2062,O
2063,O
